,Notes,State,State Code,Year,Year Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
570,,Texas,48.0,2019.0,2019.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,25-34 years,25-34,18.0,4276763.0,Unreliable
571,,Texas,48.0,2019.0,2019.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,35-44 years,35-44,11.0,3942439.0,Unreliable
572,,Texas,48.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,15-24 years,15-24,11.0,4055517.0,Unreliable
573,,Texas,48.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,25-34 years,25-34,20.0,4276763.0,0.5
574,,Texas,48.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,35-44 years,35-44,18.0,3942439.0,Unreliable
575,,Texas,48.0,2020.0,2020.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,35-44 years,35-44,19.0,4019259.0,Unreliable
576,,Texas,48.0,2020.0,2020.0,"Stomach, unspecified - Malignant neoplasms",C16.9,35-44 years,35-44,38.0,4019259.0,0.9
577,,Texas,48.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,25-34 years,25-34,22.0,4318570.0,0.5
578,,Texas,48.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,88.0,4019259.0,2.2
579,,Texas,48.0,2020.0,2020.0,Malignant neoplasm of rectosigmoid junction,C19,35-44 years,35-44,13.0,4019259.0,Unreliable
580,,Texas,48.0,2020.0,2020.0,Malignant neoplasm of rectum,C20,35-44 years,35-44,26.0,4019259.0,0.6
581,,Texas,48.0,2020.0,2020.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,35-44 years,35-44,46.0,4019259.0,1.1
582,,Texas,48.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,25-34 years,25-34,13.0,4318570.0,Unreliable
583,,Texas,48.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,56.0,4019259.0,1.4
584,,Texas,48.0,2020.0,2020.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,15-24 years,15-24,14.0,4098388.0,Unreliable
585,,Texas,48.0,2020.0,2020.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,35-44 years,35-44,19.0,4019259.0,Unreliable
586,,Texas,48.0,2020.0,2020.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,25-34 years,25-34,10.0,4318570.0,Unreliable
587,,Texas,48.0,2020.0,2020.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,35-44 years,35-44,12.0,4019259.0,Unreliable
588,,Texas,48.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,25-34 years,25-34,29.0,4318570.0,0.7
589,,Texas,48.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,163.0,4019259.0,4.1
590,,Texas,48.0,2020.0,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,25-34 years,25-34,24.0,4318570.0,0.6
591,,Texas,48.0,2020.0,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,80.0,4019259.0,2
592,,Texas,48.0,2020.0,2020.0,"Malignant neoplasm of uterus, part unspecified",C55,35-44 years,35-44,14.0,4019259.0,Unreliable
593,,Texas,48.0,2020.0,2020.0,Malignant neoplasm of ovary,C56,25-34 years,25-34,11.0,4318570.0,Unreliable
594,,Texas,48.0,2020.0,2020.0,Malignant neoplasm of ovary,C56,35-44 years,35-44,24.0,4019259.0,0.6
595,,Texas,48.0,2020.0,2020.0,"Testis, unspecified - Malignant neoplasms",C62.9,25-34 years,25-34,18.0,4318570.0,Unreliable
596,,Texas,48.0,2020.0,2020.0,"Testis, unspecified - Malignant neoplasms",C62.9,35-44 years,35-44,14.0,4019259.0,Unreliable
597,,Texas,48.0,2020.0,2020.0,"Malignant neoplasm of kidney, except renal pelvis",C64,35-44 years,35-44,20.0,4019259.0,0.5
598,,Texas,48.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,5-14 years,14-May,11.0,4206393.0,Unreliable
599,,Texas,48.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,15-24 years,15-24,22.0,4098388.0,0.5
600,,Texas,48.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,25-34 years,25-34,24.0,4318570.0,0.6
601,,Texas,48.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,60.0,4019259.0,1.5
602,,Texas,48.0,2020.0,2020.0,Malignant neoplasm without specification of site,C80,25-34 years,25-34,16.0,4318570.0,Unreliable
603,,Texas,48.0,2020.0,2020.0,Malignant neoplasm without specification of site,C80,35-44 years,35-44,34.0,4019259.0,0.8
604,,Texas,48.0,2020.0,2020.0,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,35-44 years,35-44,11.0,4019259.0,Unreliable
605,,Texas,48.0,2020.0,2020.0,"Non-Hodgkin lymphoma, unspecified type",C85.9,35-44 years,35-44,11.0,4019259.0,Unreliable
606,,Texas,48.0,2020.0,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,15-24 years,15-24,13.0,4098388.0,Unreliable
607,,Texas,48.0,2020.0,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,25-34 years,25-34,16.0,4318570.0,Unreliable
608,,Texas,48.0,2020.0,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,35-44 years,35-44,18.0,4019259.0,Unreliable
609,,Texas,48.0,2020.0,2020.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,15-24 years,15-24,20.0,4098388.0,0.5
610,,Texas,48.0,2020.0,2020.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,25-34 years,25-34,13.0,4318570.0,Unreliable
611,,Texas,48.0,2020.0,2020.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,35-44 years,35-44,21.0,4019259.0,0.5
612,,Utah,49.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,15.0,443453.0,Unreliable
613,,Utah,49.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,11.0,443453.0,Unreliable
614,,Utah,49.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,10.0,450609.0,Unreliable
615,,Utah,49.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,30.0,450609.0,6.7
616,,Utah,49.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,11.0,450609.0,Unreliable
617,,Virginia,51.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,28.0,1112496.0,2.5
618,,Virginia,51.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,25.0,1112496.0,2.2
619,,Virginia,51.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,25-34 years,25-34,13.0,1190381.0,Unreliable
620,,Virginia,51.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,47.0,1112496.0,4.2
621,,Virginia,51.0,2019.0,2019.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,10.0,1112496.0,Unreliable
622,,Virginia,51.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,25-34 years,25-34,11.0,1190381.0,Unreliable
623,,Virginia,51.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,24.0,1112496.0,2.2
624,,Virginia,51.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,32.0,1127091.0,2.8
625,,Virginia,51.0,2020.0,2020.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,35-44 years,35-44,16.0,1127091.0,Unreliable
626,,Virginia,51.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,19.0,1127091.0,Unreliable
627,,Virginia,51.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,51.0,1127091.0,4.5
628,,Virginia,51.0,2020.0,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,19.0,1127091.0,Unreliable
629,,Virginia,51.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,5-14 years,14-May,10.0,1045223.0,Unreliable
630,,Virginia,51.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,22.0,1127091.0,2
631,,Virginia,51.0,2020.0,2020.0,Malignant neoplasm without specification of site,C80,35-44 years,35-44,18.0,1127091.0,Unreliable
632,,Washington,53.0,2019.0,2019.0,"Stomach, unspecified - Malignant neoplasms",C16.9,35-44 years,35-44,11.0,1028141.0,Unreliable
633,,Washington,53.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,20.0,1028141.0,1.9
634,,Washington,53.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,15.0,1028141.0,Unreliable
635,,Washington,53.0,2019.0,2019.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,35-44 years,35-44,11.0,1028141.0,Unreliable
636,,Washington,53.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,51.0,1028141.0,5
637,,Washington,53.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,21.0,1028141.0,2
638,,Washington,53.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,27.0,1057100.0,2.6
639,,Washington,53.0,2020.0,2020.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,35-44 years,35-44,10.0,1057100.0,Unreliable
640,,Washington,53.0,2020.0,2020.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,35-44 years,35-44,10.0,1057100.0,Unreliable
641,,Washington,53.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,25-34 years,25-34,12.0,1189552.0,Unreliable
642,,Washington,53.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,29.0,1057100.0,2.7
643,,Washington,53.0,2020.0,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,11.0,1057100.0,Unreliable
644,,Washington,53.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,22.0,1057100.0,2.1
645,,West Virginia,54.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,15.0,213802.0,Unreliable
646,,West Virginia,54.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,11.0,211489.0,Unreliable
647,,Wisconsin,55.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,11.0,713075.0,Unreliable
648,,Wisconsin,55.0,2019.0,2019.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,35-44 years,35-44,12.0,713075.0,Unreliable
649,,Wisconsin,55.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,13.0,713075.0,Unreliable
650,,Wisconsin,55.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,35.0,713075.0,4.9
651,,Wisconsin,55.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,18.0,713075.0,Unreliable
652,,Wisconsin,55.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,17.0,722021.0,Unreliable
653,,Wisconsin,55.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,22.0,722021.0,3
654,,Wisconsin,55.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,11.0,722021.0,Unreliable
655,---,,,,,,,,,,,
656,"Dataset: Underlying Cause of Death, 1999-2020",,,,,,,,,,,
657,Query Parameters:,,,,,,,,,,,
658,Title: Underlying cause of Death 1999 to 2020 by Age group,,,,,,,,,,,
659,ICD-10 Codes: C00-D48 (Neoplasms),,,,,,,,,,,
660,Ten-Year Age Groups: < 1 year; 1-4 years; 5-14 years; 15-24 years; 25-34 years; 35-44 years,,,,,,,,,,,
661,Year/Month: 2019; 2020,,,,,,,,,,,
662,Group By: State; Year; Cause of death; Ten-Year Age Groups,,,,,,,,,,,
663,Show Totals: Disabled,,,,,,,,,,,
664,Show Zero Values: Disabled,,,,,,,,,,,
665,Show Suppressed: False,,,,,,,,,,,
666,"Calculate Rates Per: 100,000",,,,,,,,,,,
667,Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,,,,,
668,---,,,,,,,,,,,
669,Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information.,,,,,,,,,,,
670,---,,,,,,,,,,,
671,"Query Date: Feb 2, 2023 9:02:50 PM",,,,,,,,,,,
672,---,,,,,,,,,,,
673,"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,,,,,
674,"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,",,,,,,,,,,,
675,"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,,,,,,,
676,"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Feb 2, 2023 9:02:50 PM",,,,,,,,,,,
677,---,,,,,,,,,,,
678,Messages:,,,,,,,,,,,
679,"1. The full results are too long to be displayed. Due to suppression constraints rows that are zero, suppressed or a total will",,,,,,,,,,,
680,not be available.,,,,,,,,,,,
681,---,,,,,,,,,,,
682,Caveats:,,,,,,,,,,,
683,1. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:,,,,,,,,,,,
684,http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable.,,,,,,,,,,,
685,"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,",,,,,,,,,,,
686,"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:",,,,,,,,,,,
687,http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated.,,,,,,,,,,,
688,"3. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020",,,,,,,,,,,
689,"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the",,,,,,,,,,,
690,"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for",,,,,,,,,,,
691,"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS",,,,,,,,,,,
692,"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the",,,,,,,,,,,
693,"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race",,,,,,,,,,,
694,"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The",,,,,,,,,,,
695,"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal",,,,,,,,,,,
696,"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident",,,,,,,,,,,
697,"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are",,,,,,,,,,,
698,"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,",,,,,,,,,,,
699,"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012",,,,,,,,,,,
700,"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July",,,,,,,,,,,
701,"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010",,,,,,,,,,,
702,are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident,,,,,,,,,,,
703,"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population",,,,,,,,,,,
704,figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1,,,,,,,,,,,
705,estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population,,,,,,,,,,,
706,"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which",,,,,,,,,,,
707,were available at the time of release.,,,,,,,,,,,
708,4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,,,,,,,
709,resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group.,,,,,,,,,,,
710,"5. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99",,,,,,,,,,,
711,"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences",,,,,,,,,,,
712,in information available to individual states and probable errors. Caution should be used in interpreting these data. More,,,,,,,,,,,
713,information can be found at: https://www.cdc.gov/nchs/maternal-mortality/.,,,,,,,,,,,
714,"6. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,",,,,,,,,,,,
715,"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,",,,,,,,,,,,
716,Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the,,,,,,,,,,,
717,2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and,,,,,,,,,,,
718,"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,",,,,,,,,,,,
719,2020,,,,,,,,,,,
720,7. Changes to cause of death classification affect reporting trends. More information:,,,,,,,,,,,
721,http://wonder.cdc.gov/wonder/help/ucd.html#ICD-10 Changes.,,,,,,,,,,,
0,,Alabama,1.0,2019.0,2019.0,"Pharynx, unspecified - Malignant neoplasms",C14.0,55-64 years,55-64,23.0,657667.0,3.5
1,,Alabama,1.0,2019.0,2019.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,18.0,616616.0,Unreliable
2,,Alabama,1.0,2019.0,2019.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,69.0,657667.0,10.5
3,,Alabama,1.0,2019.0,2019.0,"Stomach, unspecified - Malignant neoplasms",C16.9,45-54 years,45-54,19.0,616616.0,Unreliable
4,,Alabama,1.0,2019.0,2019.0,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,35.0,657667.0,5.3
5,,Alabama,1.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,65.0,616616.0,10.5
6,,Alabama,1.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,141.0,657667.0,21.4
7,,Alabama,1.0,2019.0,2019.0,Malignant neoplasm of rectum,C20,45-54 years,45-54,13.0,616616.0,Unreliable
8,,Alabama,1.0,2019.0,2019.0,Malignant neoplasm of rectum,C20,55-64 years,55-64,26.0,657667.0,4
9,,Alabama,1.0,2019.0,2019.0,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,39.0,657667.0,5.9
10,,Alabama,1.0,2019.0,2019.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,55-64 years,55-64,18.0,657667.0,Unreliable
11,,Alabama,1.0,2019.0,2019.0,"Liver, unspecified - Malignant neoplasms",C22.9,45-54 years,45-54,14.0,616616.0,Unreliable
12,,Alabama,1.0,2019.0,2019.0,"Liver, unspecified - Malignant neoplasms",C22.9,55-64 years,55-64,60.0,657667.0,9.1
13,,Alabama,1.0,2019.0,2019.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,45-54 years,45-54,44.0,616616.0,7.1
14,,Alabama,1.0,2019.0,2019.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,150.0,657667.0,22.8
15,,Alabama,1.0,2019.0,2019.0,"Larynx, unspecified - Malignant neoplasms",C32.9,55-64 years,55-64,24.0,657667.0,3.6
16,,Alabama,1.0,2019.0,2019.0,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,55-64 years,55-64,12.0,657667.0,Unreliable
17,,Alabama,1.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,127.0,616616.0,20.6
18,,Alabama,1.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,582.0,657667.0,88.5
19,,Alabama,1.0,2019.0,2019.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,55-64 years,55-64,20.0,657667.0,3
20,,Alabama,1.0,2019.0,2019.0,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,55-64 years,55-64,10.0,657667.0,Unreliable
21,,Alabama,1.0,2019.0,2019.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,55-64 years,55-64,11.0,657667.0,Unreliable
22,,Alabama,1.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,45-54 years,45-54,64.0,616616.0,10.4
23,,Alabama,1.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,157.0,657667.0,23.9
24,,Alabama,1.0,2019.0,2019.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,45-54 years,45-54,13.0,616616.0,Unreliable
25,,Alabama,1.0,2019.0,2019.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,55-64 years,55-64,15.0,657667.0,Unreliable
26,,Alabama,1.0,2019.0,2019.0,Endometrium - Malignant neoplasms,C54.1,55-64 years,55-64,14.0,657667.0,Unreliable
27,,Alabama,1.0,2019.0,2019.0,"Malignant neoplasm of uterus, part unspecified",C55,55-64 years,55-64,16.0,657667.0,Unreliable
28,,Alabama,1.0,2019.0,2019.0,Malignant neoplasm of ovary,C56,45-54 years,45-54,13.0,616616.0,Unreliable
29,,Alabama,1.0,2019.0,2019.0,Malignant neoplasm of ovary,C56,55-64 years,55-64,39.0,657667.0,5.9
30,,Alabama,1.0,2019.0,2019.0,Malignant neoplasm of prostate,C61,45-54 years,45-54,10.0,616616.0,Unreliable
31,,Alabama,1.0,2019.0,2019.0,Malignant neoplasm of prostate,C61,55-64 years,55-64,51.0,657667.0,7.8
32,,Alabama,1.0,2019.0,2019.0,"Malignant neoplasm of kidney, except renal pelvis",C64,45-54 years,45-54,13.0,616616.0,Unreliable
33,,Alabama,1.0,2019.0,2019.0,"Malignant neoplasm of kidney, except renal pelvis",C64,55-64 years,55-64,59.0,657667.0,9
34,,Alabama,1.0,2019.0,2019.0,"Bladder, unspecified - Malignant neoplasms",C67.9,55-64 years,55-64,23.0,657667.0,3.5
35,,Alabama,1.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,45-54 years,45-54,20.0,616616.0,3.2
36,,Alabama,1.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,55-64 years,55-64,72.0,657667.0,10.9
37,,Alabama,1.0,2019.0,2019.0,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,55-64 years,55-64,15.0,657667.0,Unreliable
38,,Alabama,1.0,2019.0,2019.0,Malignant neoplasm without specification of site,C80,45-54 years,45-54,33.0,616616.0,5.4
39,,Alabama,1.0,2019.0,2019.0,Malignant neoplasm without specification of site,C80,55-64 years,55-64,103.0,657667.0,15.7
40,,Alabama,1.0,2019.0,2019.0,Non-Hodgkin lymphoma large cell (diffuse),C83.3,55-64 years,55-64,10.0,657667.0,Unreliable
41,,Alabama,1.0,2019.0,2019.0,"Non-Hodgkin lymphoma, unspecified type",C85.9,55-64 years,55-64,18.0,657667.0,Unreliable
42,,Alabama,1.0,2019.0,2019.0,Multiple myeloma - Malignant neoplasms,C90.0,45-54 years,45-54,11.0,616616.0,Unreliable
43,,Alabama,1.0,2019.0,2019.0,Multiple myeloma - Malignant neoplasms,C90.0,55-64 years,55-64,35.0,657667.0,5.3
44,,Alabama,1.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,55-64 years,55-64,15.0,657667.0,Unreliable
45,,Alabama,1.0,2019.0,2019.0,Malignant neoplasms of independent (primary) multiple sites,C97,55-64 years,55-64,15.0,657667.0,Unreliable
46,,Alabama,1.0,2020.0,2020.0,"Pharynx, unspecified - Malignant neoplasms",C14.0,55-64 years,55-64,17.0,657281.0,Unreliable
47,,Alabama,1.0,2020.0,2020.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,21.0,608174.0,3.5
48,,Alabama,1.0,2020.0,2020.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,64.0,657281.0,9.7
49,,Alabama,1.0,2020.0,2020.0,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,29.0,657281.0,4.4
50,,Alabama,1.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,68.0,608174.0,11.2
51,,Alabama,1.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,143.0,657281.0,21.8
52,,Alabama,1.0,2020.0,2020.0,Malignant neoplasm of rectosigmoid junction,C19,55-64 years,55-64,17.0,657281.0,Unreliable
53,,Alabama,1.0,2020.0,2020.0,Malignant neoplasm of rectum,C20,45-54 years,45-54,15.0,608174.0,Unreliable
54,,Alabama,1.0,2020.0,2020.0,Malignant neoplasm of rectum,C20,55-64 years,55-64,22.0,657281.0,3.3
55,,Alabama,1.0,2020.0,2020.0,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,48.0,657281.0,7.3
56,,Alabama,1.0,2020.0,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,55-64 years,55-64,30.0,657281.0,4.6
57,,Alabama,1.0,2020.0,2020.0,"Liver, unspecified - Malignant neoplasms",C22.9,45-54 years,45-54,10.0,608174.0,Unreliable
58,,Alabama,1.0,2020.0,2020.0,"Liver, unspecified - Malignant neoplasms",C22.9,55-64 years,55-64,69.0,657281.0,10.5
59,,Alabama,1.0,2020.0,2020.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,45-54 years,45-54,47.0,608174.0,7.7
60,,Alabama,1.0,2020.0,2020.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,157.0,657281.0,23.9
61,,Alabama,1.0,2020.0,2020.0,"Larynx, unspecified - Malignant neoplasms",C32.9,55-64 years,55-64,16.0,657281.0,Unreliable
62,,Alabama,1.0,2020.0,2020.0,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,55-64 years,55-64,12.0,657281.0,Unreliable
63,,Alabama,1.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,122.0,608174.0,20.1
64,,Alabama,1.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,598.0,657281.0,91
65,,Alabama,1.0,2020.0,2020.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,55-64 years,55-64,10.0,657281.0,Unreliable
